duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
2.6,1100,0,1.0,17,0.0,366,70,6,11282,2831,96,528,0.0,2445,3,12891,35,0,0,4.0,0.6,27.1,4,5.0,3135,23,366,0,194,386730,1.0,0,4790,0,204,0,204,11898,11282,0,20513,0.0,363,4,0,13.9,1,76,0,69,193,101,0,0,74,https://github.com/datamllab/rlcard.git
5.3,1204,0,1.0,10,0.0,2010,48,9,11976,2642,1364,1759,0.0,7058,12,16278,100,0,0,5.0,1.4,43.5,5,5.0,2164,88,2010,6,583,488340,1.0,0,12540,0,98,0,166,12806,11976,0,33293,0.0,1998,5,0,27.0,19,482,3,54,576,1368,0,0,479,https://github.com/ddbourgin/numpy-ml.git
8.9,5174,0,1.0,194,0.0,3409,444,107,60994,10979,1414,15027,0.0,16818,97,90078,596,0,0,5.0,0.6,40.1,41,5.0,10535,753,3409,13,1431,2702340,1.0,0,60373,0,790,0,898,65251,60994,0,168873,0.0,3312,41,0,13.9,83,812,3,466,1328,1517,0,0,731,https://github.com/deepchem/deepchem.git
0.5,3523,0,1.0,13,0.0,349,118,54,31908,8504,32,443,0.0,1657,34,45727,189,0,0,3.0,0.1,42.0,9,5.0,6809,20,349,1,144,1371810,1.0,0,33147,0,273,0,507,35746,31908,0,85747,0.0,315,9,0,31.2,9,73,1,128,102,85,0,0,40,https://github.com/deepfakes/faceswap.git
0.7,438,0,1.0,3,0.0,828,49,18,4461,1189,621,62,0.0,3155,8,5987,60,0,0,5.0,1.8,22.7,5,5.0,1285,4,828,2,138,179610,1.0,0,1755,0,44,0,46,4534,4461,0,8972,0.0,820,5,0,27.0,14,17,0,49,132,639,0,0,11,https://github.com/deepmedic/deepmedic.git
2.7,2135,0,1.0,14,0.0,237,45,58,14670,3504,76,925,0.0,1005,7,20869,35,0,0,4.0,0.2,28.2,2,5.0,2113,49,237,0,58,626070,1.0,0,8186,0,154,0,388,15359,14670,0,34816,0.0,230,2,0,22.8,1,27,3,44,55,131,0,0,24,https://github.com/deepmind/dm-haiku.git
1.9,1313,0,1.0,14,0.0,160,25,71,9350,2222,2,442,100.0,489,2,13214,10,0,0,3.0,0.1,30.1,0,1.0,1245,28,160,0,62,396420,1.0,0,5703,0,140,0,323,9837,9350,0,23259,0.0,158,0,0,15.9,28,24,0,25,51,73,0,0,22,https://github.com/deepmind/sonnet.git
0.7,936,0,1.0,6,0.0,401,165,20,13732,4131,80,186,0.0,4642,14,16948,116,0,0,5.0,0.9,28.2,57,5.0,6568,8,401,5,131,508440,1.0,0,6643,0,211,0,174,14270,13732,0,27622,0.0,387,57,0,19.6,16,16,0,175,115,97,0,0,7,https://github.com/deepmipt/DeepPavlov.git
5.9,787,0,1.0,24,0.0,451,82,102,11303,2428,120,1557,0.0,2547,21,16762,144,0,0,5.0,0.5,25.8,39,5.0,3055,59,451,11,136,502860,1.0,0,5833,0,105,0,78,11701,11303,0,26299,0.0,430,39,0,23.1,16,12,0,87,142,201,0,0,2,https://github.com/deepset-ai/FARM.git
0.0,152,0,1.0,0,0.0,23,3,0,1244,282,8,0,0.0,113,1,2277,10,0,0,5.0,0.2,38.4,1,5.0,174,0,23,1,11,68310,1.0,0,1417,0,29,0,15,1395,1244,0,4158,0.0,22,1,0,9.7,8,2,0,3,11,8,0,0,2,https://github.com/deezer/spleeter.git
